xpos="285.4786" ypos="43.37515" zpos="398.8213"
xpos="524.5473" ypos="1.098742" zpos="-416.7916"
xpos="553.4478" ypos="3.277853" zpos="-324.4243"
xpos="422.1416" ypos="3.872288" zpos="-536.3788"
xpos="857.5595" ypos="26.96756" zpos="-661.4149"
xpos="743.517" ypos="0.1790863" zpos="-291.4782"
xpos="641.1509" ypos="0.4826321" zpos="-197.6497"
xpos="623.5191" ypos="8.402648" zpos="80.05875"
xpos="493.1809" ypos="3.411944" zpos="325.818"
xpos="655.0754" ypos="52.01527" zpos="605.3794"
xpos="222.445" ypos="2.304415" zpos="664.9721"
xpos="10.73578" ypos="7.981788" zpos="-4.778158"
xpos="215.9944" ypos="15.56687" zpos="-415.7267"
xpos="-25.75534" ypos="34.6319" zpos="-743.5715"
xpos="-160.9234" ypos="57.55663" zpos="-744.4332"
xpos="-175.3898" ypos="38.33082" zpos="-503.9151"
xpos="31.36365" ypos="51.90674" zpos="-388.8559"
xpos="-274.4716" ypos="29.16292" zpos="-154.9609"
xpos="-552.5754" ypos="118.2269" zpos="-180.7864"
xpos="-711.8955" ypos="9.922652" zpos="-751.9409"
xpos="-562.7543" ypos="89.5016" zpos="-689.5074"
xpos="-441.8999" ypos="49.39466" zpos="-62.1459"
xpos="-282.1377" ypos="33.60973" zpos="51.30021"
xpos="-803.4684" ypos="39.79209" zpos="320.8906"
xpos="-581.0366" ypos="36.80692" zpos="357.114"
xpos="-433.767" ypos="47.63922" zpos="730.5341"
xpos="-164.6773" ypos="92.52415" zpos="636.8992"
xpos="214.0105" ypos="5.067283" zpos="101.1791"
