xpos="637.3108" ypos="90.79919" zpos="314.0904"
xpos="440.1944" ypos="107.483" zpos="201.9723"
xpos="390.6789" ypos="147.434" zpos="256.2881"
xpos="290.5977" ypos="244.7877" zpos="-62.81433"
xpos="623.6834" ypos="304.7218" zpos="-284.4888"
xpos="444.125" ypos="303.7504" zpos="-215.8779"
xpos="59.42984" ypos="298.5591" zpos="-466.2403"
xpos="25.73207" ypos="302.8297" zpos="-542.6411"
xpos="-157.0095" ypos="272.586" zpos="-536.2615"
xpos="-286.7863" ypos="253.5018" zpos="-592.7104"
xpos="-783.713" ypos="303.5553" zpos="-556.1151"
xpos="-862.2906" ypos="210.1655" zpos="30.18556"
xpos="-573.0284" ypos="1.333746" zpos="144.708"
xpos="-563.6181" ypos="0.4677784" zpos="67.34021"
xpos="-391.7265" ypos="7.513009" zpos="34.96744"
xpos="-761.9021" ypos="213.4267" zpos="-130.4861"
xpos="-233.1264" ypos="214.8811" zpos="-67.34528"
xpos="-9.497395" ypos="5.650967" zpos="231.4313"
xpos="196.148" ypos="153.9148" zpos="407.0175"
xpos="-45.92374" ypos="2.371863" zpos="559.4443"
xpos="-114.8071" ypos="115.2576" zpos="495.3193"
xpos="-401.2895" ypos="91.72179" zpos="342.9785"
xpos="-222.7885" ypos="138.202" zpos="188.358"
xpos="62.22217" ypos="157.7184" zpos="0.4342875"
xpos="436.1875" ypos="320.7948" zpos="-135.6586"
xpos="774.7447" ypos="317.177" zpos="32.62625"
xpos="1007.131" ypos="358.7039" zpos="129.9855"
xpos="897.7568" ypos="408.6266" zpos="-238.7681"
xpos="877.9951" ypos="417.8654" zpos="-267.5325"
